ImageNumber,ObjectNumber,Metadata_Assay,Metadata_Date,Metadata_FileLocation,Metadata_Frame,Metadata_Magnification,Metadata_Plate,Metadata_Series,Metadata_Well,Metadata_wavelength,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_MaskedRFP,Intensity_IntegratedIntensity_MaskedRFP,Intensity_LowerQuartileIntensity_MaskedRFP,Intensity_MADIntensity_MaskedRFP,Intensity_MassDisplacement_MaskedRFP,Intensity_MaxIntensityEdge_MaskedRFP,Intensity_MaxIntensity_MaskedRFP,Intensity_MeanIntensityEdge_MaskedRFP,Intensity_MeanIntensity_MaskedRFP,Intensity_MedianIntensity_MaskedRFP,Intensity_MinIntensityEdge_MaskedRFP,Intensity_MinIntensity_MaskedRFP,Intensity_StdIntensityEdge_MaskedRFP,Intensity_StdIntensity_MaskedRFP,Intensity_UpperQuartileIntensity_MaskedRFP,Location_CenterMassIntensity_X_MaskedRFP,Location_CenterMassIntensity_Y_MaskedRFP,Location_CenterMassIntensity_Z_MaskedRFP,Location_Center_X,Location_Center_Y,Location_MaxIntensity_X_MaskedRFP,Location_MaxIntensity_Y_MaskedRFP,Location_MaxIntensity_Z_MaskedRFP,Number_Object_Number,Parent_WormObjects,Worm_Length,Worm_MeanIntensity_StraightenedImage_T1of1_L1of3,Worm_MeanIntensity_StraightenedImage_T1of1_L2of3,Worm_MeanIntensity_StraightenedImage_T1of1_L3of3,Worm_StdIntensity_StraightenedImage_T1of1_L1of3,Worm_StdIntensity_StraightenedImage_T1of1_L2of3,Worm_StdIntensity_StraightenedImage_T1of1_L3of3
1,14,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,2592,12928,266,1292,202,1090,222.50694444444446,1186.2426697530864,6.59287597169536,5546,0.9845501902462865,57.44768837780631,1,0.2004950495049505,0.15167887342234496,214.9039207065112,205.75956842878534,7.615773105863909,3.5222215157124186,3.1622776601683795,38.34358113948981,37.63023671365559,-13.38778270453244,463.4041122946064,0.4673638658492607,10.232822207733989,65.58742683753371,0.0240482185035944,0.0007324330508708954,1.1696777955598299,0.03286793455481529,0.06668192893266678,0.025266227673417255,0.025303791218184303,0.024734875187277794,0.022705424576997757,0.021484702825546265,0.001189766784721613,0.003174241043430048,0.02552834339439869,222.4220261095114,1187.4092609504721,0.0,222.50694444444446,1186.2426697530864,216.0,1272.0,0.0,14,24,228.88486944760547,0.025807428744892506,0.0255058731776304,0.024397930590836482,0.0033592362312829887,0.0037331131212360075,0.0011197465623201644
1,15,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,2857,11564,1930,1207,1694,1158,1813.7150857542877,1189.081204060203,7.294914599165744,4196,0.9957320441551761,60.3128956302743,1,0.24705984088550675,0.13708179669633982,245.60831265193926,238.72368964977062,7.615773105863909,3.5307657883481776,3.1622776601683795,24.40888182892117,22.667526681468306,-79.90312360615557,511.76450198781714,0.6808865586272641,11.618829680606723,68.57225941494107,0.023163195699453354,0.0008316170424222946,1.55209587200707,0.03332570567727089,0.03332570567727089,0.024616164577556617,0.024001490869772865,0.0239337757229805,0.021194782108068466,0.020935378968715668,0.0012247954453120185,0.001208040120051904,0.024826427921652794,1812.1964392511409,1189.4016949249424,0.0,1813.7150857542877,1189.081204060203,1788.0,1204.0,0.0,15,27,262.1862870792079,0.023797108184279953,0.023668287292268542,0.024741387858029887,0.001042997979239318,0.0010293556929220132,0.001198507284839916
1,16,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,3000,22338,886,1386,784,1167,854.5213333333334,1265.7563333333333,7.5175361060883,7744,0.979142793615802,61.80387232371034,1,0.13430029546065,0.13302230756033487,245.16018361823504,235.84740829612693,7.280109889280518,3.5308573705978628,3.1622776601683795,48.604828542672756,49.81000346032639,23.364142421403432,532.3574311003804,0.38739669421487605,11.171602988615632,73.13379143737257,0.02389562875032425,0.0004577711224555969,0.10523441328736254,0.029190508648753166,0.0318150594830513,0.02471593581552131,0.024377930479124187,0.024338139221072197,0.022674906998872757,0.02223239466547966,0.0007530538155000125,0.0007488460286760378,0.024826427921652794,854.4253144873816,1265.7132675352793,0.0,854.5213333333334,1265.7563333333333,806.0,1185.0,0.0,16,28,265.5929291125635,0.024654452510812427,0.024183559121574848,0.024341787522886595,0.0007105859645436081,0.0005854367521643441,0.0006879347019601786
1,17,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,2950,12393,775,1469,724,1226,752.6525423728814,1348.0172881355932,7.574724452717775,3748,0.9976439507430607,61.28667601500941,1,0.23803760187202452,0.13201800359103555,252.64686259264965,246.52180430947686,7.615773105863909,3.527870029274073,3.1622776601683795,18.613861871659807,17.332656675928263,-11.586766890497714,529.906637611548,0.7870864461045891,11.937834801152349,71.30736279115081,0.02366674318909645,0.0004730299115180969,0.032177082931839664,0.0318150594830513,0.0318150594830513,0.024563446092906067,0.02417198738683078,0.024139773100614548,0.023117417469620705,0.021652551367878914,0.0008597139656088136,0.0008215478560190106,0.024612803012132645,752.6203880978859,1348.0160768282346,0.0,752.6525423728814,1348.0172881355932,744.0,1415.0,0.0,17,30,262.076424431392,0.024371438696749126,0.02393764468305355,0.024243503335900574,0.0007596130849876212,0.0007125604857250016,0.0007515558491595042
1,18,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,2876,19669,1100,1334,879,1245,984.0556328233658,1299.289290681502,7.352538684091622,4700,0.9944823442032801,60.513113708173435,1,0.1462199400071178,0.13600744490656783,242.70788971215086,235.8495283014151,7.280109889280518,3.5215340476241686,3.1622776601683795,27.179202747747762,25.461049113659243,68.7113012957378,515.4873734152916,0.6119148936170212,10.958373427391052,69.76957389526069,0.02366674318909645,0.0005645845085382462,0.04708352234564964,0.027496756985783577,0.02858014777302742,0.024736734599076868,0.024259239880132368,0.024246586486697197,0.022858014330267906,0.021545739844441414,0.0006941358524770683,0.0008514196018609463,0.024811169132590294,984.0912942195649,1299.3200335326646,0.0,984.0556328233658,1299.289290681502,1030.0,1313.0,0.0,18,32,256.40232623919644,0.024782962322297722,0.023972855960729792,0.024085249548371063,0.0007783909127053742,0.0006251498664236113,0.0007483647934611328
1,19,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,2865,7076,1863,1280,1619,1251,1742.485514834206,1260.6223385689354,7.424002517359049,3950,0.9970845542719836,60.3972788763388,1,0.40488976823063877,0.13469823018806457,252.14152804746354,243.90571949013415,8.0,3.5031164829295545,3.0,21.902071432319268,19.239557864563277,87.55675949880323,516.9949493661167,0.7253164556962025,12.168459633365273,69.15686305984855,0.023361561819911003,0.0007782094180583954,0.9059648423866817,0.03041123040020466,0.030487526208162308,0.02493536810115835,0.024138521137817993,0.024124514311552048,0.022552834823727608,0.02076752856373787,0.0008405847132621978,0.0011100455959425506,0.024917982518672943,1741.579551428056,1260.6239517514346,0.0,1742.485514834206,1260.6223385689354,1719.0,1264.0,0.0,19,34,267.50966799187836,0.024612262113424394,0.023679035587309327,0.024230893208985794,0.0011756503239989716,0.0008822232969292213,0.000931030177308406
1,20,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,3044,23793,904,1534,801,1303,851.6245072273324,1417.4444809461236,7.784082984747227,3431,0.9981945549929184,62.255450959525106,1,0.12793678813096288,0.128467284066663,257.8503482762304,251.19912420229494,7.280109889280518,3.5306076744063395,3.1622776601683795,15.976855051576203,15.487408024353368,24.44948258581678,545.6711395993651,0.8872048965316235,11.365102680400014,73.8344246968627,0.0237582977861166,0.0004577711224555969,0.17563019460838725,0.029068436473608017,0.029068436473608017,0.024599789351515182,0.024255724276236103,0.024216067045927048,0.022812237963080406,0.021499961614608765,0.0007614071099501747,0.000765303678392003,0.024689096957445145,851.5401764939353,1417.290421565809,0.0,851.6245072273324,1417.4444809461236,822.0,1337.0,0.0,20,37,269.8934921923096,0.02452737256850226,0.024050842436107115,0.024244327452397862,0.0006214004361020188,0.0006524769003117849,0.0007637621058814211
1,21,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,2997,9576,1649,1406,1397,1368,1520.5745745745746,1390.1588254921587,7.731847457726302,3814,0.9976960217846674,61.77296265819928,1,0.31296992481203006,0.12933519517391892,260.324901670397,252.90709756746645,8.0,3.5212614233636965,3.1622776601683795,18.87779725932403,17.66117523353079,82.69525263659357,539.6223663640861,0.785789197692711,12.478217797353864,72.89053212665021,0.0237430389970541,0.0005493238568305969,0.16745455860848296,0.028015565127134323,0.0314030684530735,0.024758368645543382,0.024321165207424163,0.024292362853884697,0.022766461595892906,0.021576257422566414,0.000725238517717589,0.0008455393172302933,0.02483787341043353,1520.737133263959,1390.1990212842813,0.0,1520.5745745745746,1390.1588254921587,1435.0,1373.0,0.0,21,41,274.50597771562974,0.0247578500611695,0.024098892075817592,0.02416498190020529,0.0007622699570268142,0.0006467208872493451,0.000830850702564382
1,22,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,3104,23760,915,1746,816,1506,862.2255154639175,1625.9710051546392,8.271550770624179,3871,0.9978525402105101,62.86601265276767,1,0.13063973063973064,0.12089631409280935,265.16454013645193,257.93410011086166,7.615773105863909,3.4731961669321567,3.1622776601683795,18.94092449405929,17.36839477038928,21.410891650224364,568.0142853498728,0.8018599845001292,11.941176539286971,74.84216111898422,0.0235599298030138,0.0005493238568305969,0.3425329549854435,0.028091859072446823,0.02833600342273712,0.024570322097298293,0.024111520979054196,0.024109255522489548,0.022766461595892906,0.021103227511048317,0.0007113351969237877,0.0008182484517059069,0.024643320590257645,862.3245321292144,1626.2989144793687,0.0,862.2255154639175,1625.9710051546392,836.0,1562.0,0.0,22,42,276.1171028813156,0.024540464724750445,0.023921752716123977,0.023918722642631094,0.000724432665459522,0.0006331141825366278,0.0007631545887647015
1,23,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,3181,26966,836,1577,697,1383,739.5919522162842,1501.365608299277,7.828003316619727,9908,0.9698116111155568,63.64098515738543,1,0.11796336126974709,0.1277464967186317,253.1760127408646,236.10379073619296,7.615773105863909,3.545026400910479,3.1622776601683795,60.72371281765796,61.7383289474573,35.26201497797368,559.3868683519033,0.3210536939846589,11.961852489039302,79.1191580388695,0.0238498505204916,0.0006103608757257462,0.24482770834844717,0.02710002288222313,0.05258258804678917,0.024714571258345665,0.024872416862266426,0.024414435029029846,0.02240024507045746,0.021652551367878914,0.0007296372820597761,0.0023365746675280763,0.025070572271943092,739.3536030781323,1501.3096592589152,0.0,739.5919522162842,1501.365608299277,727.0,1515.0,0.0,23,42,285.83556979968336,0.02467094844930104,0.025631888043737186,0.024105626737872095,0.0007510253687618486,0.0033961385069993873,0.0007365385667557503
1,24,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,2919,23751,1843,1506,1640,1389,1751.6563891743747,1465.474134977732,7.376051984270946,6564,0.9866757271256591,60.96381083136077,1,0.1229000884173298,0.13557388181813915,241.68706712245648,231.94827009486403,7.280109889280518,3.523481683106162,3.1622776601683795,40.27573759765704,39.32227748293899,-61.395159484760086,520.1564209736038,0.4446983546617916,11.03979559801519,73.50997208431363,0.0235446710139513,0.0010223537683486938,1.7884883754542826,0.03549248352646828,0.07499809563159943,0.025437317046117947,0.025183272382430157,0.024551765993237495,0.021683070808649063,0.02035553567111492,0.0011929961026260886,0.004037919264038231,0.02558938041329384,1750.025413702973,1466.2080352984988,0.0,1751.6563891743747,1465.474134977732,1672.0,1499.0,0.0,24,43,255.78710255004665,0.024103922619884526,0.026054703602997338,0.02534925637385737,0.001560480451612301,0.005959028467467262,0.0017340674875581672
1,25,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,3024,30888,1563,1593,1407,1395,1506.5972222222222,1474.6236772486773,8.566084761969972,8935,0.980511184591097,62.050595349916925,2,0.0979020979020979,0.11673944722559887,269.8010062907789,250.04999500099976,7.280109889280518,3.4190961178703794,3.1622776601683795,52.822474318261996,53.005988242268245,39.39035129016964,570.541197284454,0.3384443200895355,11.879133334383368,74.01203970611095,0.02394140511751175,0.0005035474896430969,0.4778955184211489,0.02702372707426548,0.03616388142108917,0.024799860823347324,0.024474880855195422,0.024429693818092346,0.022766461595892906,0.02209506370127201,0.0007076587611999446,0.000824654114859817,0.024948500096797943,1506.8045808628847,1475.0542425987342,0.0,1506.5972222222222,1474.6236772486773,1490.0,1447.0,0.0,25,46,283.2397209228252,0.024671257023063133,0.024289440273022104,0.024491314056999433,0.0007865213343593211,0.0006813410789382451,0.0007598157438440673
