"","date","plate","row","col","strain","condition","well"
"77","20220504",1,"G","5","N2","5uMascr","G5"
"78","20220504",1,"G","6","N2","5uMascr","G6"
"79","20220504",1,"G","7","N2","5uMascr","G7"
"80","20220504",1,"G","8","N2","5uMascr","G8"
"81","20220504",1,"G","9","N2","5uMascr","G9"
"82","20220504",1,"G","10","N2","5uMascr","G10"
"83","20220504",1,"G","11","N2","5uMascr","G11"
"84","20220504",1,"G","12","N2","5uMascr","G12"
"85","20220504",1,"H","1","N2","control","H1"
"86","20220504",1,"H","2","N2","control","H2"
"87","20220504",1,"H","3","N2","control","H3"
"88","20220504",1,"H","4","N2","control","H4"
"89","20220504",1,"H","5","N2","control","H5"
"90","20220504",1,"H","6","N2","control","H6"
"91","20220504",1,"H","7","N2","control","H7"
"92","20220504",1,"H","8","N2","control","H8"
"93","20220504",1,"H","9","N2","control","H9"
"94","20220504",1,"H","10","N2","control","H10"
"95","20220504",1,"H","11","N2","control","H11"
"96","20220504",1,"H","12","N2","control","H12"
"97","20220504",2,"A","1","JU310","20uMascr","A1"
"98","20220504",2,"A","2","JU310","20uMascr","A2"
"99","20220504",2,"A","3","JU310","20uMascr","A3"
"100","20220504",2,"A","4","JU310","20uMascr","A4"
"101","20220504",2,"A","5","JU310","20uMascr","A5"
"102","20220504",2,"A","6","JU310","20uMascr","A6"
"103","20220504",2,"A","7","JU310","20uMascr","A7"
"104","20220504",2,"A","8","JU310","20uMascr","A8"
"105","20220504",2,"A","9","JU310","20uMascr","A9"
"106","20220504",2,"A","10","JU310","20uMascr","A10"
"107","20220504",2,"A","11","JU310","20uMascr","A11"
"108","20220504",2,"A","12","JU310","20uMascr","A12"
"109","20220504",2,"B","1","JU310","10uMascr","B1"
"110","20220504",2,"B","2","JU310","10uMascr","B2"
"111","20220504",2,"B","3","JU310","10uMascr","B3"
"112","20220504",2,"B","4","JU310","10uMascr","B4"
"113","20220504",2,"B","5","JU310","10uMascr","B5"
"114","20220504",2,"B","6","JU310","10uMascr","B6"
"115","20220504",2,"B","7","JU310","10uMascr","B7"
"116","20220504",2,"B","8","JU310","10uMascr","B8"
"117","20220504",2,"B","9","JU310","10uMascr","B9"
"118","20220504",2,"B","10","JU310","10uMascr","B10"
"119","20220504",2,"B","11","JU310","10uMascr","B11"
"120","20220504",2,"B","12","JU310","10uMascr","B12"
"121","20220504",2,"C","1","JU310","5uMascr","C1"
"122","20220504",2,"C","2","JU310","5uMascr","C2"
"123","20220504",2,"C","3","JU310","5uMascr","C3"
"124","20220504",2,"C","4","JU310","5uMascr","C4"
"125","20220504",2,"C","5","JU310","5uMascr","C5"
"126","20220504",2,"C","6","JU310","5uMascr","C6"
"127","20220504",2,"C","7","JU310","5uMascr","C7"
"128","20220504",2,"C","8","JU310","5uMascr","C8"
"129","20220504",2,"C","9","JU310","5uMascr","C9"
"130","20220504",2,"C","10","JU310","5uMascr","C10"
"131","20220504",2,"C","11","JU310","5uMascr","C11"
"132","20220504",2,"C","12","JU310","5uMascr","C12"
"133","20220504",2,"D","1","JU310","control","D1"
"134","20220504",2,"D","2","JU310","control","D2"
"135","20220504",2,"D","3","JU310","control","D3"
"136","20220504",2,"D","4","JU310","control","D4"
"137","20220504",2,"D","5","JU310","control","D5"
"138","20220504",2,"D","6","JU310","control","D6"
"139","20220504",2,"D","7","JU310","control","D7"
"140","20220504",2,"D","8","JU310","control","D8"
"141","20220504",2,"D","9","JU310","control","D9"
"142","20220504",2,"D","10","JU310","control","D10"
"143","20220504",2,"D","11","JU310","control","D11"
"144","20220504",2,"D","12","JU310","control","D12"
"145","20220504",2,"E","1","JU310","20uMascr","E1"
"146","20220504",2,"E","2","JU310","20uMascr","E2"
"147","20220504",2,"E","3","JU310","20uMascr","E3"
"148","20220504",2,"E","4","JU310","20uMascr","E4"
"149","20220504",2,"E","5","JU310","20uMascr","E5"
"150","20220504",2,"E","6","JU310","20uMascr","E6"
"151","20220504",2,"E","7","JU310","20uMascr","E7"
"152","20220504",2,"E","8","JU310","20uMascr","E8"
"153","20220504",2,"E","9","JU310","20uMascr","E9"
"154","20220504",2,"E","10","JU310","20uMascr","E10"
"155","20220504",2,"E","11","JU310","20uMascr","E11"
"156","20220504",2,"E","12","JU310","20uMascr","E12"
"157","20220504",2,"F","1","JU310","10uMascr","F1"
"158","20220504",2,"F","2","JU310","10uMascr","F2"
"159","20220504",2,"F","3","JU310","10uMascr","F3"
"160","20220504",2,"F","4","JU310","10uMascr","F4"
"161","20220504",2,"F","5","JU310","10uMascr","F5"
"162","20220504",2,"F","6","JU310","10uMascr","F6"
"163","20220504",2,"F","7","JU310","10uMascr","F7"
"164","20220504",2,"F","8","JU310","10uMascr","F8"
"165","20220504",2,"F","9","JU310","10uMascr","F9"
"166","20220504",2,"F","10","JU310","10uMascr","F10"
"167","20220504",2,"F","11","JU310","10uMascr","F11"
"168","20220504",2,"F","12","JU310","10uMascr","F12"
"169","20220504",2,"G","1","JU310","5uMascr","G1"
"170","20220504",2,"G","2","JU310","5uMascr","G2"
"171","20220504",2,"G","3","JU310","5uMascr","G3"
"172","20220504",2,"G","4","JU310","5uMascr","G4"
"173","20220504",2,"G","5","JU310","5uMascr","G5"
"174","20220504",2,"G","6","JU310","5uMascr","G6"
"175","20220504",2,"G","7","JU310","5uMascr","G7"
"176","20220504",2,"G","8","JU310","5uMascr","G8"
"177","20220504",2,"G","9","JU310","5uMascr","G9"
"178","20220504",2,"G","10","JU310","5uMascr","G10"
"179","20220504",2,"G","11","JU310","5uMascr","G11"
"180","20220504",2,"G","12","JU310","5uMascr","G12"
"181","20220504",2,"H","1","JU310","control","H1"
"182","20220504",2,"H","2","JU310","control","H2"
"183","20220504",2,"H","3","JU310","control","H3"
"184","20220504",2,"H","4","JU310","control","H4"
"185","20220504",2,"H","5","JU310","control","H5"
"186","20220504",2,"H","6","JU310","control","H6"
"187","20220504",2,"H","7","JU310","control","H7"
"188","20220504",2,"H","8","JU310","control","H8"
"189","20220504",2,"H","9","JU310","control","H9"
"190","20220504",2,"H","10","JU310","control","H10"
"191","20220504",2,"H","11","JU310","control","H11"
"192","20220504",2,"H","12","JU310","control","H12"
