worm_id,file,x,y,class_count_well,truth_class,plate,well
4,20220427-dauerProtocol3-p001-m2X_E09.png,1006,558,28,dauer,p001,E09
5,20220427-dauerProtocol3-p001-m2X_E09.png,1348,572,28,dauer,p001,E09
6,20220427-dauerProtocol3-p001-m2X_E09.png,422,599,28,dauer,p001,E09
7,20220427-dauerProtocol3-p001-m2X_E09.png,541,632,2,non-dauer,p001,E09
8,20220427-dauerProtocol3-p001-m2X_E09.png,529,745,28,dauer,p001,E09
9,20220427-dauerProtocol3-p001-m2X_E09.png,889,791,28,dauer,p001,E09
10,20220427-dauerProtocol3-p001-m2X_E09.png,1496,822,28,dauer,p001,E09
11,20220427-dauerProtocol3-p001-m2X_E09.png,1220,834,28,dauer,p001,E09
12,20220427-dauerProtocol3-p001-m2X_E09.png,424,844,28,dauer,p001,E09
13,20220427-dauerProtocol3-p001-m2X_E09.png,1264,916,28,dauer,p001,E09
14,20220427-dauerProtocol3-p001-m2X_E09.png,858,930,28,dauer,p001,E09
15,20220427-dauerProtocol3-p001-m2X_E09.png,518,974,28,dauer,p001,E09
16,20220427-dauerProtocol3-p001-m2X_E09.png,216,984,8,prune,p001,E09
17,20220427-dauerProtocol3-p001-m2X_E09.png,1070,1010,28,dauer,p001,E09
18,20220427-dauerProtocol3-p001-m2X_E09.png,1636,1078,28,dauer,p001,E09
19,20220427-dauerProtocol3-p001-m2X_E09.png,264,1082,8,prune,p001,E09
20,20220427-dauerProtocol3-p001-m2X_E09.png,1192,1100,28,dauer,p001,E09
21,20220427-dauerProtocol3-p001-m2X_E09.png,510,1138,28,dauer,p001,E09
22,20220427-dauerProtocol3-p001-m2X_E09.png,894,1140,28,dauer,p001,E09
23,20220427-dauerProtocol3-p001-m2X_E09.png,380,1152,8,prune,p001,E09
24,20220427-dauerProtocol3-p001-m2X_E09.png,468,1224,28,dauer,p001,E09
25,20220427-dauerProtocol3-p001-m2X_E09.png,396,1230,28,dauer,p001,E09
26,20220427-dauerProtocol3-p001-m2X_E09.png,922,1250,28,dauer,p001,E09
27,20220427-dauerProtocol3-p001-m2X_E09.png,340,1308,8,prune,p001,E09
28,20220427-dauerProtocol3-p001-m2X_E09.png,1234,1324,28,dauer,p001,E09
29,20220427-dauerProtocol3-p001-m2X_E09.png,776,1348,28,dauer,p001,E09
30,20220427-dauerProtocol3-p001-m2X_E09.png,1166,1378,28,dauer,p001,E09
31,20220427-dauerProtocol3-p001-m2X_E09.png,1068,1418,28,dauer,p001,E09
32,20220427-dauerProtocol3-p001-m2X_E09.png,804,1500,28,dauer,p001,E09
33,20220427-dauerProtocol3-p001-m2X_E09.png,570,1598,28,dauer,p001,E09
34,20220427-dauerProtocol3-p001-m2X_E09.png,668,1600,28,dauer,p001,E09
35,20220427-dauerProtocol3-p001-m2X_E09.png,1240,1620,28,dauer,p001,E09
36,20220427-dauerProtocol3-p001-m2X_E09.png,502,1616,8,prune,p001,E09
37,20220427-dauerProtocol3-p001-m2X_E09.png,616,1734,8,prune,p001,E09
38,20220427-dauerProtocol3-p001-m2X_E09.png,1192,1778,8,prune,p001,E09
1,20220427-dauerProtocol3-p001-m2X_E10.png,1102,210,7,prune,p001,E10
2,20220427-dauerProtocol3-p001-m2X_E10.png,668,306,7,prune,p001,E10
3,20220427-dauerProtocol3-p001-m2X_E10.png,1144,488,18,dauer,p001,E10
4,20220427-dauerProtocol3-p001-m2X_E10.png,1600,508,18,dauer,p001,E10
5,20220427-dauerProtocol3-p001-m2X_E10.png,1428,518,18,dauer,p001,E10
6,20220427-dauerProtocol3-p001-m2X_E10.png,956,530,18,dauer,p001,E10
7,20220427-dauerProtocol3-p001-m2X_E10.png,1358,540,18,dauer,p001,E10
8,20220427-dauerProtocol3-p001-m2X_E10.png,962,724,18,dauer,p001,E10
9,20220427-dauerProtocol3-p001-m2X_E10.png,776,798,18,dauer,p001,E10
10,20220427-dauerProtocol3-p001-m2X_E10.png,222,954,7,prune,p001,E10
11,20220427-dauerProtocol3-p001-m2X_E10.png,922,990,18,dauer,p001,E10
12,20220427-dauerProtocol3-p001-m2X_E10.png,1372,1086,18,dauer,p001,E10
13,20220427-dauerProtocol3-p001-m2X_E10.png,1184,1102,18,dauer,p001,E10
14,20220427-dauerProtocol3-p001-m2X_E10.png,636,1107,18,dauer,p001,E10
15,20220427-dauerProtocol3-p001-m2X_E10.png,522,1127,18,dauer,p001,E10
16,20220427-dauerProtocol3-p001-m2X_E10.png,1294,1151,18,dauer,p001,E10
17,20220427-dauerProtocol3-p001-m2X_E10.png,908,1175,18,dauer,p001,E10
18,20220427-dauerProtocol3-p001-m2X_E10.png,1544,1201,18,dauer,p001,E10
19,20220427-dauerProtocol3-p001-m2X_E10.png,362,1435,7,prune,p001,E10
20,20220427-dauerProtocol3-p001-m2X_E10.png,908,1537,18,dauer,p001,E10
21,20220427-dauerProtocol3-p001-m2X_E10.png,758,1547,18,dauer,p001,E10
22,20220427-dauerProtocol3-p001-m2X_E10.png,468,1577,7,prune,p001,E10
23,20220427-dauerProtocol3-p001-m2X_E10.png,908,1663,18,dauer,p001,E10
24,20220427-dauerProtocol3-p001-m2X_E10.png,670,1687,7,prune,p001,E10
25,20220427-dauerProtocol3-p001-m2X_E10.png,1246,1769,7,prune,p001,E10
1,20220427-dauerProtocol3-p001-m2X_E11.png,1156,270,14,prune,p001,E11
2,20220427-dauerProtocol3-p001-m2X_E11.png,1032,290,13,dauer,p001,E11
3,20220427-dauerProtocol3-p001-m2X_E11.png,1380,306,14,prune,p001,E11
4,20220427-dauerProtocol3-p001-m2X_E11.png,570,362,14,prune,p001,E11
5,20220427-dauerProtocol3-p001-m2X_E11.png,1390,384,14,prune,p001,E11
6,20220427-dauerProtocol3-p001-m2X_E11.png,852,400,13,dauer,p001,E11
7,20220427-dauerProtocol3-p001-m2X_E11.png,1648,586,14,prune,p001,E11
8,20220427-dauerProtocol3-p001-m2X_E11.png,1704,648,14,prune,p001,E11
9,20220427-dauerProtocol3-p001-m2X_E11.png,1384,682,13,dauer,p001,E11
10,20220427-dauerProtocol3-p001-m2X_E11.png,694,842,13,dauer,p001,E11
11,20220427-dauerProtocol3-p001-m2X_E11.png,1542,850,14,prune,p001,E11
12,20220427-dauerProtocol3-p001-m2X_E11.png,1810,982,14,prune,p001,E11
13,20220427-dauerProtocol3-p001-m2X_E11.png,240,1058,14,prune,p001,E11
14,20220427-dauerProtocol3-p001-m2X_E11.png,1720,1072,4,non-dauer,p001,E11
15,20220427-dauerProtocol3-p001-m2X_E11.png,1800,1140,14,prune,p001,E11
16,20220427-dauerProtocol3-p001-m2X_E11.png,1386,1156,13,dauer,p001,E11
17,20220427-dauerProtocol3-p001-m2X_E11.png,1758,1168,14,prune,p001,E11
18,20220427-dauerProtocol3-p001-m2X_E11.png,242,1170,14,prune,p001,E11
19,20220427-dauerProtocol3-p001-m2X_E11.png,882,1254,4,non-dauer,p001,E11
20,20220427-dauerProtocol3-p001-m2X_E11.png,1130,1264,13,dauer,p001,E11
21,20220427-dauerProtocol3-p001-m2X_E11.png,1248,1282,13,dauer,p001,E11
22,20220427-dauerProtocol3-p001-m2X_E11.png,602,1352,13,dauer,p001,E11
23,20220427-dauerProtocol3-p001-m2X_E11.png,1218,1356,4,non-dauer,p001,E11
24,20220427-dauerProtocol3-p001-m2X_E11.png,1530,1416,13,dauer,p001,E11
25,20220427-dauerProtocol3-p001-m2X_E11.png,846,1462,4,non-dauer,p001,E11
26,20220427-dauerProtocol3-p001-m2X_E11.png,1326,1462,13,dauer,p001,E11
27,20220427-dauerProtocol3-p001-m2X_E11.png,1152,1554,13,dauer,p001,E11
28,20220427-dauerProtocol3-p001-m2X_E11.png,1184,1743,13,dauer,p001,E11
29,20220427-dauerProtocol3-p001-m2X_E11.png,822,1751,13,dauer,p001,E11
30,20220427-dauerProtocol3-p001-m2X_E11.png,710,1783,14,prune,p001,E11
31,20220427-dauerProtocol3-p001-m2X_E11.png,932,1827,14,prune,p001,E11
1,20220427-dauerProtocol3-p001-m2X_E12.png,918,262,2,prune,p001,E12
2,20220427-dauerProtocol3-p001-m2X_E12.png,1494,394,2,prune,p001,E12
3,20220427-dauerProtocol3-p001-m2X_E12.png,1098,406,2,non-dauer,p001,E12
4,20220427-dauerProtocol3-p001-m2X_E12.png,1468,526,15,dauer,p001,E12
5,20220427-dauerProtocol3-p001-m2X_E12.png,674,584,15,dauer,p001,E12
6,20220427-dauerProtocol3-p001-m2X_E12.png,1416,698,15,dauer,p001,E12
7,20220427-dauerProtocol3-p001-m2X_E12.png,1514,808,15,dauer,p001,E12
8,20220427-dauerProtocol3-p001-m2X_E12.png,1402,966,15,dauer,p001,E12
9,20220427-dauerProtocol3-p001-m2X_E12.png,1262,976,15,dauer,p001,E12
10,20220427-dauerProtocol3-p001-m2X_E12.png,332,1106,15,dauer,p001,E12
11,20220427-dauerProtocol3-p001-m2X_E12.png,1534,1106,15,dauer,p001,E12
12,20220427-dauerProtocol3-p001-m2X_E12.png,1336,1142,15,dauer,p001,E12
13,20220427-dauerProtocol3-p001-m2X_E12.png,562,1160,15,dauer,p001,E12
14,20220427-dauerProtocol3-p001-m2X_E12.png,1110,1188,15,dauer,p001,E12
15,20220427-dauerProtocol3-p001-m2X_E12.png,1604,1372,15,dauer,p001,E12
16,20220427-dauerProtocol3-p001-m2X_E12.png,534,1410,15,dauer,p001,E12
17,20220427-dauerProtocol3-p001-m2X_E12.png,988,1496,15,dauer,p001,E12
18,20220427-dauerProtocol3-p001-m2X_E12.png,492,1556,15,dauer,p001,E12
19,20220427-dauerProtocol3-p001-m2X_E12.png,1148,1733,2,non-dauer,p001,E12
1,20220427-dauerProtocol3-p001-m2X_H07.png,1316,420,3,prune,p001,H07
2,20220427-dauerProtocol3-p001-m2X_H07.png,914,494,18,non-dauer,p001,H07
3,20220427-dauerProtocol3-p001-m2X_H07.png,644,638,18,non-dauer,p001,H07
4,20220427-dauerProtocol3-p001-m2X_H07.png,978,690,18,non-dauer,p001,H07
5,20220427-dauerProtocol3-p001-m2X_H07.png,1530,718,18,non-dauer,p001,H07
6,20220427-dauerProtocol3-p001-m2X_H07.png,554,752,18,non-dauer,p001,H07
7,20220427-dauerProtocol3-p001-m2X_H07.png,1294,806,18,non-dauer,p001,H07
8,20220427-dauerProtocol3-p001-m2X_H07.png,820,896,18,non-dauer,p001,H07
9,20220427-dauerProtocol3-p001-m2X_H07.png,1100,890,18,non-dauer,p001,H07
10,20220427-dauerProtocol3-p001-m2X_H07.png,826,976,18,non-dauer,p001,H07
11,20220427-dauerProtocol3-p001-m2X_H07.png,826,1006,18,non-dauer,p001,H07
12,20220427-dauerProtocol3-p001-m2X_H07.png,1298,1080,18,non-dauer,p001,H07
13,20220427-dauerProtocol3-p001-m2X_H07.png,1620,1098,18,non-dauer,p001,H07
14,20220427-dauerProtocol3-p001-m2X_H07.png,310,1158,3,prune,p001,H07
15,20220427-dauerProtocol3-p001-m2X_H07.png,428,1186,18,non-dauer,p001,H07
16,20220427-dauerProtocol3-p001-m2X_H07.png,1628,1216,18,non-dauer,p001,H07
17,20220427-dauerProtocol3-p001-m2X_H07.png,904,1484,18,non-dauer,p001,H07
18,20220427-dauerProtocol3-p001-m2X_H07.png,596,1500,18,non-dauer,p001,H07
19,20220427-dauerProtocol3-p001-m2X_H07.png,1396,1508,18,non-dauer,p001,H07
20,20220427-dauerProtocol3-p001-m2X_H07.png,1196,1582,18,non-dauer,p001,H07
21,20220427-dauerProtocol3-p001-m2X_H07.png,586,1712,3,prune,p001,H07
1,20220427-dauerProtocol3-p001-m2X_H08.png,1454,340,15,prune,p001,H08
2,20220427-dauerProtocol3-p001-m2X_H08.png,1428,386,15,non-dauer,p001,H08
3,20220427-dauerProtocol3-p001-m2X_H08.png,1562,420,15,prune,p001,H08
4,20220427-dauerProtocol3-p001-m2X_H08.png,1292,456,15,non-dauer,p001,H08
5,20220427-dauerProtocol3-p001-m2X_H08.png,434,494,15,prune,p001,H08
6,20220427-dauerProtocol3-p001-m2X_H08.png,1660,574,15,prune,p001,H08
7,20220427-dauerProtocol3-p001-m2X_H08.png,264,696,15,prune,p001,H08
8,20220427-dauerProtocol3-p001-m2X_H08.png,224,850,15,prune,p001,H08
9,20220427-dauerProtocol3-p001-m2X_H08.png,272,890,15,prune,p001,H08
10,20220427-dauerProtocol3-p001-m2X_H08.png,1486,910,15,non-dauer,p001,H08
11,20220427-dauerProtocol3-p001-m2X_H08.png,1784,952,15,prune,p001,H08
12,20220427-dauerProtocol3-p001-m2X_H08.png,1558,994,15,non-dauer,p001,H08
13,20220427-dauerProtocol3-p001-m2X_H08.png,958,1026,15,non-dauer,p001,H08
14,20220427-dauerProtocol3-p001-m2X_H08.png,1190,1050,15,non-dauer,p001,H08
15,20220427-dauerProtocol3-p001-m2X_H08.png,898,1160,15,non-dauer,p001,H08
16,20220427-dauerProtocol3-p001-m2X_H08.png,1104,1162,15,non-dauer,p001,H08
17,20220427-dauerProtocol3-p001-m2X_H08.png,428,1178,15,non-dauer,p001,H08
18,20220427-dauerProtocol3-p001-m2X_H08.png,1742,1296,15,non-dauer,p001,H08
19,20220427-dauerProtocol3-p001-m2X_H08.png,872,1384,15,non-dauer,p001,H08
20,20220427-dauerProtocol3-p001-m2X_H08.png,608,1392,15,non-dauer,p001,H08
21,20220427-dauerProtocol3-p001-m2X_H08.png,1024,1440,15,non-dauer,p001,H08
22,20220427-dauerProtocol3-p001-m2X_H08.png,1420,1510,15,non-dauer,p001,H08
23,20220427-dauerProtocol3-p001-m2X_H08.png,1260,1534,15,non-dauer,p001,H08
24,20220427-dauerProtocol3-p001-m2X_H08.png,454,1546,15,prune,p001,H08
25,20220427-dauerProtocol3-p001-m2X_H08.png,1516,1602,15,prune,p001,H08
26,20220427-dauerProtocol3-p001-m2X_H08.png,496,1626,15,prune,p001,H08
27,20220427-dauerProtocol3-p001-m2X_H08.png,1524,1648,15,prune,p001,H08
28,20220427-dauerProtocol3-p001-m2X_H08.png,722,1676,15,prune,p001,H08
29,20220427-dauerProtocol3-p001-m2X_H08.png,1116,1692,15,prune,p001,H08
30,20220427-dauerProtocol3-p001-m2X_H08.png,1140,1780,15,prune,p001,H08
1,20220427-dauerProtocol3-p001-m2X_H09.png,1314,282,12,prune,p001,H09
2,20220427-dauerProtocol3-p001-m2X_H09.png,1246,364,20,non-dauer,p001,H09
3,20220427-dauerProtocol3-p001-m2X_H09.png,1014,372,20,non-dauer,p001,H09
4,20220427-dauerProtocol3-p001-m2X_H09.png,1596,544,12,prune,p001,H09
5,20220427-dauerProtocol3-p001-m2X_H09.png,638,562,20,non-dauer,p001,H09
6,20220427-dauerProtocol3-p001-m2X_H09.png,1654,582,12,prune,p001,H09
7,20220427-dauerProtocol3-p001-m2X_H09.png,1218,610,20,non-dauer,p001,H09
8,20220427-dauerProtocol3-p001-m2X_H09.png,1560,658,20,non-dauer,p001,H09
9,20220427-dauerProtocol3-p001-m2X_H09.png,1506,756,20,non-dauer,p001,H09
10,20220427-dauerProtocol3-p001-m2X_H09.png,1744,766,12,prune,p001,H09
11,20220427-dauerProtocol3-p001-m2X_H09.png,1046,844,20,non-dauer,p001,H09
12,20220427-dauerProtocol3-p001-m2X_H09.png,1584,880,20,non-dauer,p001,H09
13,20220427-dauerProtocol3-p001-m2X_H09.png,1214,940,20,non-dauer,p001,H09
14,20220427-dauerProtocol3-p001-m2X_H09.png,786,962,20,non-dauer,p001,H09
15,20220427-dauerProtocol3-p001-m2X_H09.png,1826,964,12,prune,p001,H09
16,20220427-dauerProtocol3-p001-m2X_H09.png,222,992,12,prune,p001,H09
17,20220427-dauerProtocol3-p001-m2X_H09.png,1700,1046,20,non-dauer,p001,H09
18,20220427-dauerProtocol3-p001-m2X_H09.png,916,1044,20,non-dauer,p001,H09
19,20220427-dauerProtocol3-p001-m2X_H09.png,1808,1052,12,prune,p001,H09
20,20220427-dauerProtocol3-p001-m2X_H09.png,886,1116,20,non-dauer,p001,H09
21,20220427-dauerProtocol3-p001-m2X_H09.png,1108,1164,20,non-dauer,p001,H09
22,20220427-dauerProtocol3-p001-m2X_H09.png,582,1220,20,non-dauer,p001,H09
23,20220427-dauerProtocol3-p001-m2X_H09.png,718,1258,20,non-dauer,p001,H09
24,20220427-dauerProtocol3-p001-m2X_H09.png,1708,1388,12,prune,p001,H09
25,20220427-dauerProtocol3-p001-m2X_H09.png,1596,1442,20,non-dauer,p001,H09
26,20220427-dauerProtocol3-p001-m2X_H09.png,994,1474,20,non-dauer,p001,H09
27,20220427-dauerProtocol3-p001-m2X_H09.png,1656,1548,12,prune,p001,H09
28,20220427-dauerProtocol3-p001-m2X_H09.png,442,1576,12,prune,p001,H09
29,20220427-dauerProtocol3-p001-m2X_H09.png,520,1606,12,prune,p001,H09
30,20220427-dauerProtocol3-p001-m2X_H09.png,894,1698,20,non-dauer,p001,H09
31,20220427-dauerProtocol3-p001-m2X_H09.png,1224,1694,20,non-dauer,p001,H09
32,20220427-dauerProtocol3-p001-m2X_H09.png,1148,1784,12,prune,p001,H09
1,20220427-dauerProtocol3-p001-m2X_H10.png,1496,356,10,prune,p001,H10
2,20220427-dauerProtocol3-p001-m2X_H10.png,1074,388,25,non-dauer,p001,H10
3,20220427-dauerProtocol3-p001-m2X_H10.png,1416,462,25,non-dauer,p001,H10
4,20220427-dauerProtocol3-p001-m2X_H10.png,790,484,25,non-dauer,p001,H10
5,20220427-dauerProtocol3-p001-m2X_H10.png,1360,612,25,non-dauer,p001,H10
6,20220427-dauerProtocol3-p001-m2X_H10.png,312,636,10,prune,p001,H10
7,20220427-dauerProtocol3-p001-m2X_H10.png,424,638,25,non-dauer,p001,H10
8,20220427-dauerProtocol3-p001-m2X_H10.png,1110,742,25,non-dauer,p001,H10
9,20220427-dauerProtocol3-p001-m2X_H10.png,1000,790,25,non-dauer,p001,H10
10,20220427-dauerProtocol3-p001-m2X_H10.png,370,888,25,non-dauer,p001,H10
11,20220427-dauerProtocol3-p001-m2X_H10.png,1012,934,25,non-dauer,p001,H10
12,20220427-dauerProtocol3-p001-m2X_H10.png,1842,1008,10,prune,p001,H10
13,20220427-dauerProtocol3-p001-m2X_H10.png,1834,1050,10,prune,p001,H10
14,20220427-dauerProtocol3-p001-m2X_H10.png,1760,1168,10,prune,p001,H10
15,20220427-dauerProtocol3-p001-m2X_H10.png,1400,1208,25,non-dauer,p001,H10
16,20220427-dauerProtocol3-p001-m2X_H10.png,748,1224,25,non-dauer,p001,H10
17,20220427-dauerProtocol3-p001-m2X_H10.png,1794,1238,10,prune,p001,H10
18,20220427-dauerProtocol3-p001-m2X_H10.png,906,1248,25,non-dauer,p001,H10
19,20220427-dauerProtocol3-p001-m2X_H10.png,354,1272,25,non-dauer,p001,H10
20,20220427-dauerProtocol3-p001-m2X_H10.png,648,1288,25,non-dauer,p001,H10
21,20220427-dauerProtocol3-p001-m2X_H10.png,1712,1344,10,prune,p001,H10
22,20220427-dauerProtocol3-p001-m2X_H10.png,908,1382,25,non-dauer,p001,H10
23,20220427-dauerProtocol3-p001-m2X_H10.png,1052,1416,25,non-dauer,p001,H10
24,20220427-dauerProtocol3-p001-m2X_H10.png,1604,1446,25,non-dauer,p001,H10
25,20220427-dauerProtocol3-p001-m2X_H10.png,1572,1502,1,dauer,p001,H10
26,20220427-dauerProtocol3-p001-m2X_H10.png,1510,1506,25,non-dauer,p001,H10
27,20220427-dauerProtocol3-p001-m2X_H10.png,850,1548,25,non-dauer,p001,H10
28,20220427-dauerProtocol3-p001-m2X_H10.png,900,1554,25,non-dauer,p001,H10
29,20220427-dauerProtocol3-p001-m2X_H10.png,716,1556,25,non-dauer,p001,H10
30,20220427-dauerProtocol3-p001-m2X_H10.png,1112,1552,25,non-dauer,p001,H10
31,20220427-dauerProtocol3-p001-m2X_H10.png,534,1614,25,non-dauer,p001,H10
32,20220427-dauerProtocol3-p001-m2X_H10.png,986,1734,25,non-dauer,p001,H10
33,20220427-dauerProtocol3-p001-m2X_H10.png,1396,1748,10,prune,p001,H10
34,20220427-dauerProtocol3-p001-m2X_H10.png,1062,1786,25,non-dauer,p001,H10
35,20220427-dauerProtocol3-p001-m2X_H10.png,722,1786,10,prune,p001,H10
36,20220427-dauerProtocol3-p001-m2X_H10.png,856,1818,10,prune,p001,H10
1,20220427-dauerProtocol3-p001-m2X_H11.png,866,310,5,prune,p001,H11
2,20220427-dauerProtocol3-p001-m2X_H11.png,1128,314,17,non-dauer,p001,H11
3,20220427-dauerProtocol3-p001-m2X_H11.png,1398,388,5,prune,p001,H11
4,20220427-dauerProtocol3-p001-m2X_H11.png,1322,552,17,non-dauer,p001,H11
5,20220427-dauerProtocol3-p001-m2X_H11.png,1556,628,17,non-dauer,p001,H11
6,20220427-dauerProtocol3-p001-m2X_H11.png,402,686,17,non-dauer,p001,H11
7,20220427-dauerProtocol3-p001-m2X_H11.png,506,762,17,non-dauer,p001,H11
8,20220427-dauerProtocol3-p001-m2X_H11.png,582,826,17,non-dauer,p001,H11
9,20220427-dauerProtocol3-p001-m2X_H11.png,1444,880,17,non-dauer,p001,H11
10,20220427-dauerProtocol3-p001-m2X_H11.png,940,896,17,non-dauer,p001,H11
11,20220427-dauerProtocol3-p001-m2X_H11.png,1480,948,17,non-dauer,p001,H11
12,20220427-dauerProtocol3-p001-m2X_H11.png,996,1006,17,non-dauer,p001,H11
13,20220427-dauerProtocol3-p001-m2X_H11.png,218,1022,5,prune,p001,H11
14,20220427-dauerProtocol3-p001-m2X_H11.png,494,1060,17,non-dauer,p001,H11
15,20220427-dauerProtocol3-p001-m2X_H11.png,678,1102,17,non-dauer,p001,H11
16,20220427-dauerProtocol3-p001-m2X_H11.png,1534,1228,17,non-dauer,p001,H11
17,20220427-dauerProtocol3-p001-m2X_H11.png,780,1458,17,non-dauer,p001,H11
18,20220427-dauerProtocol3-p001-m2X_H11.png,764,1558,17,non-dauer,p001,H11
19,20220427-dauerProtocol3-p001-m2X_H11.png,668,1670,5,prune,p001,H11
20,20220427-dauerProtocol3-p001-m2X_H11.png,572,1670,5,prune,p001,H11
21,20220427-dauerProtocol3-p001-m2X_H11.png,1150,1678,17,non-dauer,p001,H11
22,20220427-dauerProtocol3-p001-m2X_H11.png,918,1768,17,non-dauer,p001,H11
1,20220427-dauerProtocol3-p001-m2X_H12.png,1392,342,7,prune,p001,H12
2,20220427-dauerProtocol3-p001-m2X_H12.png,1092,356,15,non-dauer,p001,H12
3,20220427-dauerProtocol3-p001-m2X_H12.png,862,410,15,non-dauer,p001,H12
